Name,Level,Section,Type,Custom Icon URL,Address,EntityType,External Links,Multipage,DirectConnections,More Info Link,DirectConnectionsVisibility,ShowHierarchy,Notes
Data versioning,7,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
traffic shifting,8,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
instrumentation for in process traces,9,Development-Reactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Backwards Version Compatibility by default,10,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Canary Deployments,11,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Left Shift QA testing (SDET),11,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
E2E testing,12,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Multi Cluster Rollout Policy,13,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Universal Smart Retries,14,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Sharded Serving,15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
manual integration tests,5,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
regular release cadence,6,Development-Deterministic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
containers,8,Development-Reactive,Form,,,Page,,No,Container Orchestrator,https://goto.google.com/gcp-customer-reliability,visible line,No,
Blue Green Deployments,10,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Fuzz Testing,11,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Distributed systems (no active/passive),12,Development-Proactive,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Automatic assured capacity and performance testing,13,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
andon cord/big red button,14,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Code Quality Threshold (code reuse preferred),15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
"Low Context Architecture, Design, Coding, Operations",13,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Language Readability,14,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Only customize components needing customization,15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Design for Chaos,15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Formal methods (e.g. TLA+),15,Development-Autonomic,Form,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Local data storage,1,Infrastructure-Demo,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Single Zone,3,Infrastructure-Demo,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DNS / SImple LB,4,Infrastructure-Deterministic,VM,,,Page,,No,real loadbalancing,https://goto.google.com/gcp-customer-reliability,visible line,No,
Basic linear capacity projection,6,Infrastructure-Deterministic,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Advanced Loadbalancing,7,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
IaC,8,Infrastructure-Reactive,VM,,,Page,,No,Cattle Infrastructure,https://goto.google.com/gcp-customer-reliability,visible line,No,
Understand Infrastructure Failure Domains,9,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Auto Failover,10,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Failure Testing in Prod,11,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
N+1 as standard,12,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
N+2 Thinking,13,Infrastructure-Autonomic,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
N+2 Global Planning,15,Infrastructure-Autonomic,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Pet Host,1,Infrastructure-Demo,VM,,,Page,,No,>1 computer,https://goto.google.com/gcp-customer-reliability,visible line,No,
>1 computer,4,Infrastructure-Deterministic,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
distributed storage,5,Infrastructure-Deterministic,VM,,,Page,,No,alternate site replication,https://goto.google.com/gcp-customer-reliability,visible line,No,
alternate site replication,7,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Cattle Infrastructure,8,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Container Orchestrator,9,Infrastructure-Reactive,VM,,,Page,,No,Container Orchestrator,https://goto.google.com/gcp-customer-reliability,visible line,No,
Auto Scaling,10,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Eliminate SPOFs (hardware & software),11,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Service Discovery,12,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Drain/Spill (N/S & E/W),14,Infrastructure-Autonomic,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Basic Loadtesting,7,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Multi Zone,8,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Holtz-Winter capacity projections,9,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Failure Injection,10,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
N+1 Regional Planning,11,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
L7 Global LB,12,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
High Water Mark Prediction,8,Infrastructure-Reactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Assured Capacity Load Testing,10,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Real World Traffic Load Testing,11,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
L4 Regional Load Balancing,12,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Multi Region,12,Infrastructure-Proactive,VM,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Off-host backup,1,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
RPO/RTO defined,2,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DR Plan,3,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
RPO/RTO refined,4,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DR plan simulated/tabletop,5,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DR plan tested periodically,6,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Continuous Integration,7,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Continuous Delivery,8,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Regular BCP Testing (run from alternate site),9,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
% Based Traffic Steering,10,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Active Active Datastores,11,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Internal Rate Limiting,12,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Autonomous Response Systems,14,Operations-Autonomic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Automatic Rollbacks,15,Operations-Autonomic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Manually created machines,1,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Manual VM Images,2,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Custom VMs via semi-automation,3,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
ITIL style NOC,4,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DR Site Exists,5,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Manual remediation playbooks,6,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Formal Incident Response Roles,7,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Formal Incident Response Processes,8,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Rollbacks/Rollforwards tested,9,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Continuous Deployment,10,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
External Rate Limiting,11,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Centralized Production Changelog,12,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Proactive DDoS Countermeasures,13,Operations-Autonomic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Load Prediction,14,Operations-Autonomic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Manual Remediation,2,Operations-Demo,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Scheduled Downtime,4,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Basic Incident Management,5,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Repeatable Deployments,6,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Automation of Toil,7,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Problem Management Function,8,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Dedicated Operations Tooling,9,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Automated Service Discovery,10,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Data Collection Automation,11,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Mostly Automated Remediation,12,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Patching Windows,4,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Gold Image Automation,5,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Central Certificate Rotation,6,Operations-Deterministic,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Breakglass Secret Access,7,Operations-Reactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Global Policy Enforcement,10,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Vanilla DDoS Protection,11,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
DiRT Testing,12,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Product Specific DDoS Protection (e.g. WAF),12,Operations-Proactive,Dashboard,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Host Metrics and Logging,1,Observability-Demo,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Per Host Alarms,3,Observability-Demo,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Host Ping Tests,4,Observability-Deterministic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Synthetic Monitoring,6,Observability-Deterministic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
APM Metrics and Traces,7,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Internal SLAs,8,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Error Budgets,9,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Custom In Process Tracing,10,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Cross Service Transaction Testing,11,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
"Multi Machine Debugging, hotspots etc",12,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Anomaly Detection,13,Observability-Autonomic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Observability Integration Across Tools,14,Observability-Autonomic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
On host log grep,3,Observability-Demo,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
SSH to Grep Logs,4,Observability-Deterministic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Centralized Log Collection,5,Observability-Deterministic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Realtime Centralized Log Analytics,6,Observability-Deterministic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Automated Topology View,7,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Service Level Indicators (SLI),8,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Record and Replay Traffic,10,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
"Advanced Vizualizations (heatmaps, flamegraphs)",11,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Near Miss Detection,13,Observability-Autonomic,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Service Level Objectives (SLO),8,Observability-Reactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Event Correlation,10,Observability-Proactive,Visualization,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
High Context Behaviours,1,People-Demo,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
RCA/5 Whys,4,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Incentivise trust/safety,5,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Understand Business Impacts,6,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Blameless Postmortems,7,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Postmortem reviews/actions,8,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Single Central CAB,9,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Holistic View of R9y as high value,10,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Reliability Executive/Sponsor exists,11,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Reliability has a seat at the table,12,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
R9y is a product differentiator,13,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
R9y can stop feature launch,14,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Proactive Risk and Scaling Analysis,15,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Managing pet configuration drift,2,People-Demo,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Measure Everything,4,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Data Driven Decisions,5,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Service Ownership,6,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Incentivise cross silo collaboration,7,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Dedicated R9y staffing,8,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Change Freezes,9,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Vertical Scale is an Antipattern,10,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
SRE SWE roles introduced,11,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Empowered R9y staff,12,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
R9y Embedded in High Level Strategy and Operations,13,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Advanced Cost Optimization,14,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Focus on prevention and near misses instead of outages,15,People-Autonomic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
TODO Lists,3,People-Demo,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Waterfall Projects/PMO,4,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
SMART Goals,5,People-Deterministic,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Goals -> Objectives (OKRs),8,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Architecture Reviews,9,People-Reactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
High Performing Staff (Promotion and Hiring),10,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Reactive Risk Analysis,11,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Basic Cost Optimisation,12,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
,,,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Introducing Dedicated SREs,10,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Toil Budgets,11,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
Decreased Reliance on 3rd party SaaS,12,People-Proactive,Timeline,,,Page,,No,,https://goto.google.com/gcp-customer-reliability,visible line,No,
